CName,ContextKey,MemberCode,IsRowKey,DefaultValue
A10.07_055_010,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription,SecondFundingSourceCountry,0,
A10.07_056_010,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription,ThirdFundingSourceCountry,0,
A10.08_057_010,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription,PredominantAIFType,0,
A10.08.a_010_058_xkey,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[EQTY_LGBS],HedgeFundStrategyType,1,EQTY_LGBS
A10.08.a_010_059,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[EQTY_LGBS],PrimaryStrategyFlag,0,
A10.08.a_010_060,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[EQTY_LGBS],StrategyNAVRate,0,
A10.08.a_020_058_xkey,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[EQTY_LGST],HedgeFundStrategyType,1,EQTY_LGST
A10.08.a_020_059,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[EQTY_LGST],PrimaryStrategyFlag,0,
A10.08.a_020_060,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[EQTY_LGST],StrategyNAVRate,0,
A10.08.a_030_058_xkey,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[EQTY_MTNL],HedgeFundStrategyType,1,EQTY_MTNL
A10.08.a_030_059,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[EQTY_MTNL],PrimaryStrategyFlag,0,
A10.08.a_030_060,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[EQTY_MTNL],StrategyNAVRate,0,
A10.08.a_040_058_xkey,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[EQTY_STBS],HedgeFundStrategyType,1,EQTY_STBS
A10.08.a_040_059,AIFReportingInfo.AIFRecordInfo.AIFCompleteDescription.AIFPrincipalInfo.AIFDescription.HedgeFundInvestmentStrategies.HedgeFundStrategy[EQTY_STBS],PrimaryStrategyFlag,0,
